iter	RMSE
454	0.4722758097
455	0.4720983569
456	0.4717733036
457	0.4716646964
458	0.4714752213
459	0.4712224062
460	0.4710709499
461	0.4708665813
462	0.4707061058
463	0.4705769254
464	0.4704100655
465	0.4702892527
466	0.4701147789
467	0.4697950009
468	0.4694442182
469	0.4692108669
470	0.4690087647
471	0.4688246396
472	0.4686021481
473	0.468485579
474	0.4682929544
475	0.4681748539
476	0.4680136631
477	0.4677963576
478	0.4675101667
479	0.4673953378
480	0.4671661118
481	0.467012021
482	0.4668072603
483	0.4665634636
484	0.4663605583
485	0.4661936747
486	0.4659621166
487	0.4657901729
488	0.4656692029
489	0.4655179204
490	0.4654012117
491	0.4652033967
492	0.464989245
493	0.4647798981
494	0.4646023297
495	0.4644750409
496	0.4643542542
497	0.4642033314
498	0.464028777
499	0.46381635
