iter	RMSE
0	0.7250632429
1	0.7146871115
2	0.7054491534
3	0.6959561397
4	0.6873612134
5	0.6785264388
6	0.6704751509
7	0.6642204947
8	0.6579868239
9	0.6528020905
10	0.6465203286
11	0.640968926
12	0.6373115748
13	0.633496655
14	0.6287841885
15	0.6251353058
16	0.6223077592
17	0.6186018373
18	0.616353961
19	0.613243696
20	0.6108095509
21	0.6081182006
22	0.6057599931
23	0.6030157385
24	0.6014185742
25	0.5990492917
26	0.5969346621
27	0.5953877259
28	0.5937121128
29	0.5924326901
30	0.5908584978
31	0.58943532
32	0.587934963
33	0.5867056838
34	0.5857607797
35	0.5849393053
36	0.5843040319
37	0.5837174478
38	0.5828270011
39	0.5820661252
40	0.5814377519
41	0.5807468901
42	0.5797789313
43	0.5788314284
44	0.5781651618
45	0.5776184072
46	0.5770106883
47	0.5762472597
48	0.5756504067
49	0.5751304879
50	0.5747135855
51	0.5742077671
52	0.5735189417
53	0.5730095517
54	0.5723975003
55	0.5718616425
56	0.5715010515
57	0.5710323397
58	0.5706907893
59	0.5703389713
60	0.5701207319
61	0.5698823027
62	0.5694757549
63	0.5691402337
64	0.5686151814
65	0.5682865692
66	0.5679568427
67	0.5675342305
68	0.5672821293
69	0.5669135468
70	0.5665288178
71	0.5662663603
72	0.5657050347
73	0.5654933943
74	0.5652540146
75	0.5648908675
76	0.5645412714
77	0.5641323654
78	0.5638832666
79	0.5634393754
80	0.5632213894
81	0.5627902512
82	0.5625483077
83	0.5622924868
84	0.5620091035
85	0.5616383025
86	0.5613723411
87	0.5610741498
88	0.5608748657
89	0.5606503424
90	0.5602263324
91	0.5598822826
92	0.5596921483
93	0.5594718068
94	0.5593672061
95	0.5591267065
96	0.5588010693
97	0.5587061911
98	0.5585001228
99	0.558227354
100	0.5578914965
101	0.5576984823
102	0.5573678056
103	0.5571315335
104	0.5569267023
105	0.5566015603
106	0.5563248275
107	0.5561884417
108	0.5560274068
109	0.5558572273
110	0.5556580329
111	0.5554623062
112	0.5552124513
113	0.5550573625
114	0.5548930488
115	0.5547793691
116	0.5545388849
117	0.5541206324
118	0.55392976
119	0.5538162057
120	0.5535050672
121	0.5533367827
122	0.5529726408
123	0.5527453957
124	0.5525850245
125	0.5524472385
126	0.5522147195
127	0.5520036333
128	0.5516998852
129	0.5514027354
130	0.5511579648
131	0.5508629475
132	0.5506107454
133	0.5504082618
134	0.5502571101
135	0.5499998814
136	0.5496634349
137	0.5493872727
138	0.5492517026
139	0.5491045075
140	0.5489500612
141	0.5487215947
142	0.5485651658
143	0.5483773352
144	0.5481213757
145	0.5479986826
146	0.5476513694
147	0.5472388073
148	0.5469129525
149	0.5468232879
150	0.5465872911
151	0.5464116541
152	0.5460832691
153	0.5458634146
154	0.5457088868
155	0.5455302907
156	0.5452854176
157	0.5450008104
158	0.5448041762
159	0.5446269683
160	0.5442831912
161	0.544047069
162	0.5438300334
163	0.5435664142
164	0.5432933229
165	0.5430554658
166	0.5428461408
167	0.5426989002
168	0.5425130798
169	0.5422330115
170	0.5419816482
171	0.54172808
172	0.5415068355
173	0.5412609687
174	0.5409495555
175	0.5407579327
176	0.5404268427
177	0.5402130751
178	0.5399964561
179	0.5398424493
180	0.5395792366
181	0.5393761058
182	0.5392364246
183	0.5390080871
184	0.5388576393
185	0.5386082325
186	0.5382961658
187	0.5380259921
188	0.5378318071
189	0.5375036507
190	0.5372934907
191	0.5370937202
192	0.5368218675
193	0.5365975974
194	0.536325856
195	0.5360696201
196	0.5357633039
197	0.5354478925
198	0.5352153541
199	0.534848965
200	0.5345691199
201	0.5342314493
202	0.5339906021
203	0.5337633369
204	0.5335410396
205	0.5332471705
206	0.5329326338
207	0.532525816
208	0.5321687473
209	0.5318670597
210	0.5315444149
211	0.531327157
212	0.5310651861
213	0.530778624
214	0.5305503299
215	0.5302265028
216	0.529905712
217	0.5296415328
218	0.5292586413
219	0.5289404602
220	0.5286191518
221	0.5282132838
222	0.5278956499
223	0.5275402929
224	0.5273397302
225	0.5269452957
226	0.5266796962
227	0.5263904719
228	0.5260705124
229	0.5258759805
230	0.525559732
231	0.5252022117
232	0.524908145
233	0.5246387879
234	0.5242641484
235	0.5239448441
236	0.5237433943
237	0.5234513326
238	0.5230703146
239	0.5227295505
240	0.5224024236
241	0.5221011137
242	0.521826692
243	0.5215079713
244	0.5212545148
245	0.5209066692
246	0.5206032775
247	0.5202867348
248	0.520040099
249	0.5198038596
250	0.519472625
251	0.5191834576
252	0.5189493383
253	0.5186586251
254	0.5184213738
255	0.5181070319
256	0.5179065455
257	0.5176629676
258	0.5172897525
259	0.5169892941
260	0.5167019336
261	0.5165100561
262	0.5162447492
263	0.5159472865
264	0.5156191089
265	0.5152885458
266	0.5150155576
267	0.5147525026
268	0.5144838824
269	0.5142510514
270	0.5138939744
271	0.5136202171
272	0.5133465961
273	0.5129283568
274	0.5126337717
275	0.5123320568
276	0.5120183396
277	0.5117025357
278	0.511436611
279	0.5111941915
280	0.5108807545
281	0.5107451199
282	0.510535996
283	0.5102443731
284	0.5100278672
285	0.5097009825
286	0.5093353699
287	0.509095539
288	0.5088881729
289	0.508615447
290	0.5084299354
291	0.5082738532
292	0.5080496283
293	0.5077760919
294	0.5075467579
295	0.5073551005
296	0.5070153446
297	0.5067728485
298	0.506504943
299	0.5063123579
300	0.506089394
301	0.5058284295
302	0.5056213099
303	0.5054203143
304	0.505225868
305	0.5050309793
306	0.5048491991
307	0.5045719551
308	0.5044268509
309	0.5041812021
310	0.503974592
311	0.5037353123
312	0.503479786
313	0.5032971402
314	0.503073997
315	0.5027796095
316	0.5024882887
317	0.5022511759
318	0.5020485472
319	0.501838996
320	0.5015466182
321	0.5013016426
322	0.5011410243
323	0.5009826083
324	0.5006830687
325	0.5005426774
326	0.5002996659
327	0.5001174023
328	0.4999065362
329	0.4996545725
330	0.4994303893
331	0.4992099288
332	0.4989895629
333	0.4987472273
334	0.4984792529
335	0.4982174287
336	0.4979321951
337	0.4976469741
338	0.497308196
339	0.4970198294
340	0.4968557439
341	0.4966013479
342	0.4963165657
343	0.4962167875
344	0.4959683723
345	0.4956559511
346	0.4954257637
347	0.495273414
348	0.4950152855
349	0.4948026285
350	0.4945398797
351	0.4943094519
352	0.4940457706
353	0.4938131501
354	0.4936540849
355	0.4933940322
356	0.493195692
357	0.492985286
358	0.4928018811
359	0.4925845626
360	0.4923945156
361	0.4921385348
362	0.4919075346
363	0.4916723663
364	0.4914714495
365	0.4912823979
366	0.4910516642
367	0.4907849926
368	0.4905951977
369	0.4903631676
370	0.4901168565
371	0.4899575241
372	0.4897967148
373	0.4895724784
374	0.4894077455
375	0.4892091934
376	0.4887838629
377	0.4885809688
378	0.4883822929
379	0.4881868852
380	0.4879844876
381	0.4876960197
382	0.4874840768
383	0.4873671288
384	0.4870922872
385	0.4869445468
386	0.4866937612
387	0.4865386206
388	0.4863612075
389	0.4862009971
390	0.4860006489
391	0.4858359689
392	0.4856577344
393	0.4855017708
394	0.4852398867
395	0.4850053394
396	0.4847996495
397	0.4844459301
398	0.4842351123
399	0.4840057768
400	0.4837077585
401	0.4834295107
402	0.4832089307
403	0.4829964303
404	0.4828020975
405	0.4825872605
406	0.4824115437
407	0.482173004
408	0.4820002507
409	0.4817700389
410	0.4816305238
411	0.481477143
412	0.4812196833
413	0.4810235029
414	0.4808212014
415	0.4804986845
416	0.4801723697
417	0.4799441117
418	0.4796543898
419	0.4793922408
420	0.4791213799
421	0.4788245207
422	0.4786527261
423	0.4784192214
424	0.4782402619
425	0.4780207299
426	0.4778796464
427	0.4775965806
428	0.4774022521
429	0.4771970822
430	0.4770958895
431	0.4768811448
432	0.4766902202
433	0.4764116089
434	0.4762072107
435	0.476021655
436	0.4758069371
437	0.4756363095
438	0.4753954107
439	0.4752602751
440	0.4750612126
441	0.4748623454
442	0.4746711983
443	0.4744967851
444	0.4742856748
445	0.4740175623
446	0.4737862568
447	0.4735859172
448	0.4734432713
449	0.4732380821
450	0.4730371864
451	0.4729142513
452	0.4726379834
453	0.4724758942
